"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #leaseholders","Value #memory"
2022-09-05 15:05:30.000,34.148.123.228:26258,0,1.71,0,0.0179,63818,532333,3145727,0,0,0.00250,0,0,0,0,27.0,26.5,0.348,1178,0,55107911,0.375,2014733,77652,94557,0,2,306057216
2022-09-05 15:05:45.000,34.148.123.228:26258,0,57.0,0.333,0.444,2373366,511538,213080792,0,0,0.0981,21,71,0,0,941,1260,10.2,5992,0,54069820,0.250,2084879,7896681,8326425,0,156,388173824
2022-09-05 15:06:00.000,34.148.123.228:26258,0,274,0.400,0.275,4184934,4718591,805306367,0,0,0.0744,0,0,0,138,5090,6930,55.1,2847,0,51474595,0,2331844,15148090,15547545,0,268,447475712
2022-09-05 15:06:15.000,34.148.123.228:26258,0,205,0.333,0.0387,4748862,4718591,805306367,0,0,0.00562,0,0,0,0,3142,15736,34.0,2401,0,50436505,0,2310289,10843716,11132525,0,244,450371584
2022-09-05 15:06:30.000,34.148.123.228:26258,0,162,0.333,0.0559,4874996,1667672,128890961,0,0,0.0138,2,6,0,0,2269,17382,24.5,2019,0,48360324,0,2454877,6445533,6477242,0,240,484032512
2022-09-05 15:06:45.000,34.148.123.228:26258,0,139,0.167,0.0669,5492021,1541897,2856058,0,0,0.0287,0,0,0,0,1830,16120,19.7,1892,0,46803189,0,1644953,6909011,6941494,0,242,455020544
2022-09-05 15:07:00.000,34.148.123.228:26258,0,138,0,0.0672,5599152,1619885,2853699,0,0,0.0119,2,6,0,0,1798,16456,19.4,1800,0,44727008,0,412548,4404087,4437235,0,336,465698816
2022-09-05 15:07:15.000,34.148.123.228:26258,0,120,0,0.0968,6353338,1693340,3263692,0,0,0.0263,2,6,0,0,1427,16141,15.4,1749,0,43688918,0,438681,9079141,9119567,0,335,482914304
2022-09-05 15:07:30.000,34.148.123.228:26258,0,104,0,0.0594,6712348,1716059,3327480,0,0,0.0225,0,0,0,0,1096,15920,11.8,1669,0,41093692,0,530677,8387042,8435566,0,332,478937088
2022-09-05 15:07:45.000,34.148.123.228:26258,0,99.5,0,0.0735,7264695,1719172,3362433,0,0,0.00875,0,0,0,0,1003,15860,10.8,1637,0,40055602,0,668139,7231877,7270803,0,333,477503488
2022-09-05 15:08:00.000,34.148.123.228:26258,0,94.2,0,0.0743,7544189,1620311,2734598,0,0,0.00563,0,0,0,0,179753,15569,1028,1593,0,37979422,0.0833,1638617,6593729,6632345,0,332,453238784
2022-09-05 15:08:15.000,34.148.123.228:26258,0,89.9,0,0.0694,8100788,1598946,2453339,0,0,0.01000,0,0,0,0,165450,15539,946,1567,0,36422286,0,1649540,7999880,8041947,0,332,477274112
2022-09-05 15:08:30.000,34.148.123.228:26258,0,83.7,0,0.0599,8296724,1613626,2671683,0,0,0.0106,0,0,0,0,142774,14765,817,1520,0,34346106,0,1870833,5415689,5445341,0,333,463310848
2022-09-05 15:08:45.000,34.148.123.228:26258,0,83.3,0,0.0619,8771826,1596550,2406044,0,0,0.00875,0,0,0,0,133670,14740,765,1505,0,33308016,0,1886344,7079136,7111423,0,336,478400512
2022-09-05 15:09:00.000,34.148.123.228:26258,0,81.1,0,0.0834,9300607,1626675,2712066,0,0,0.0150,0,0,0,0,241214,14740,1377,1496,0,30712790,0,577043,9688384,9733524,0,337,471343104
2022-09-05 15:09:15.000,34.148.123.228:26258,0,82.0,0,0.110,9978618,1612746,2690743,0,0,0.0112,1,3,0,0,228262,15114,1303,1492,0,29674700,0,584252,9964424,10008522,0,335,491671552
2022-09-05 15:09:30.000,34.148.123.228:26258,127,77.8,0,0.0815,10388650,1230962,2758628,0,0,0.0169,0,0,0,0,206080,14733,1177,1467,0,27598519,0.250,410746,8146392,8182968,0,334,499695616
2022-09-05 15:09:45.000,34.148.123.228:26258,508,386,0,0.272,11086355,2095240,1942738,0,0,0.0531,0,0,0,0,272921,17866,1417,1477,0,26041384,0,86343,10796032,10844982,0,401,570142720
2022-09-05 15:10:00.000,34.148.123.228:26258,1133,566,0,0.421,12060362,1032558,1679891,0,0,0.0612,2,7,0,0,132850,8424,511,1249,0,23965203,0,83499,12505023,12564175,0,409,593399808
2022-09-05 15:10:15.000,34.148.123.228:26258,1614,635,0,0.396,13240772,2085091,1535957,0,0,0.0544,3,13,0,0,149196,9675,572,1682,0,22927113,0,81921,23323475,23407493,0,410,629014528
2022-09-05 15:10:30.000,34.148.123.228:26258,2000,740,0,0.392,13216323,477556,1268741,0,0,0.0687,5,18,0,0,177022,11058,677,1660,0,20331888,0,84914,20011989,20079884,0,413,683487232
2022-09-05 15:10:45.000,34.148.123.228:26258,2000,797,0,0.342,12618886,332219,1113446,0,0,0.0963,0,0,0,0,191799,11794,732,1622,0,19293797,0.0769,84951,19275069,19339978,0,413,613855232
2022-09-05 15:11:00.000,34.148.123.228:26258,2000,881,0,0.369,12738433,265673,1046733,0,0,0.0475,0,0,0,0,233279,12730,881,1597,0,17217617,0.0769,83329,15653711,15709945,0,413,671100928
