"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #leaseholders","Value #memory"
2022-09-05 15:11:45,34.148.111.75:26258,857,399,0.833,0.322,71825224,1363099,4929596,0,0,0.0744,0,0,0,410,4888546,1015265,1571,858,0,12640583,0.0909,95296,110284218,116777306,0,389,1027477504
2022-09-05 15:12:00,34.148.111.75:26258,857,412,0.833,0.328,76721908,1199273,4856661,0,0,0.0506,1,15,0,205,4804081,1057545,1535,869,0,12630097,0,95136,105408094,111767253,0,389,980189184
2022-09-05 15:12:15,34.148.111.75:26258,857,438,1,0.359,86581432,2063747,4909889,0,0,0.0956,0,0,0,205,5925468,1133245,1675,891,0,12603883,0,99848,106793206,112710711,0,389,1445842944
2022-09-05 15:12:30,34.148.111.75:26258,857,451,0.833,0.378,92741660,2114347,4968434,0,0,0.0962,0,0,0,205,7251251,1167604,1879,901,0,12593397,0,99332,118107889,124726109,0,389,1528307712
2022-09-05 15:12:45,34.148.111.75:26258,857,531,0.500,0.345,103698376,2103883,5143779,0,0,0.117,1,2,0,0,7417196,1415639,1871,933,0,12572425,0,97885,119578525,126035058,0,418,1367449600
2022-09-05 15:13:00,34.148.111.75:26258,857,540,0.500,0.321,108267040,1960128,5110328,0,0,0.0719,0,0,0,0,7288279,1441117,1833,940,0,12556697,0.0455,95798,122447460,129000053,0,417,1355419648
2022-09-05 15:13:15,34.148.111.75:26258,857,555,0.333,0.335,119395716,2636807,5158085,0,0,0.0869,0,0,0,0,7054191,1487474,1765,954,0,12535725,0.0909,96608,123556599,130427537,0,417,1204137984
2022-09-05 15:13:30,34.148.111.75:26258,857,566,0.667,0.397,124714457,2645671,5382064,0,0,0.0981,1,16,0,0,9473463,1513370,2149,961,0,14507048,0,98232,121209228,127646622,0,418,1987428352
2022-09-05 15:13:45,34.148.111.75:26258,857,580,0.833,0.324,136017581,2641264,5359411,0,0,0.0387,1,28,0,0,9049594,1562597,2054,974,0,14428405,0.0455,98169,125800313,131860511,0,418,1602154496
2022-09-05 15:14:00,34.148.111.75:26258,857,587,0.667,0.346,142578681,3168665,5415218,0,0,0.137,0,0,0,0,8869028,1585116,2012,981,0,14396947,0,98988,130186768,136703411,0,418,1484443648
